Well name:	 Segment-1-0-1_n
71451.57527588	 70738.74536916	 100.0	 0.0
71455.42697225	 70732.8166817	 92.93	 10
71459.41134622	 70726.68377148	 86.1100164	 20
71463.52296171	 70720.35500595	 79.54942611	 30
71467.75680935	 70713.83809574	 73.2562222	 40
71472.10773084	 70707.14098069	 67.23807197	 50
71476.57042526	 70700.27182021	 61.5023076	 60
71481.13945551	 70693.23898332	 56.05591725	 70
71485.80925491	 70686.05103843	 50.9055365	 80
71490.57413405	 70678.71674297	 46.0574403	 90
71495.42828765	 70671.24503262	 41.5175353	 100
71500.36580167	 70663.64501053	 37.29135269	 110
71505.38066052	 70655.92593615	 33.3840414	 120
71510.46675435	 70648.09721399	 29.80036191	 130
71515.61489513	 70640.16644645	 26.54466338	 140
71520.81516045	 70632.14095395	 23.62084557	 150
71526.05677032	 70624.02768924	 21.03232056	 160
71531.32822823	 70615.83332046	 18.78197571	 170
71536.61956646	 70607.56561751	 16.87230882	 180
71541.91385723	 70599.28553217	 15.02550834	 190
71542.08041304	 70599.02504472	 14.9674089	 200
71547.37470382	 70590.74495939	 13.12060842	 210
71552.6689946	 70582.46487405	 11.27380794	 220
71557.96328537	 70574.18478871	 9.42700747	 230
71563.25757615	 70565.90470338	 7.58020699	 240
71568.55186693	 70557.62461804	 5.73340651	 250
71573.8461577	 70549.3445327	 3.88660604	 260
71579.18410149	 70541.06521739	 2.16634612	 270
71584.62610089	 70532.79112952	 0.77922236	 280
71590.15854981	 70524.5274029	 -0.27093534	 290
71595.76922549	 70516.28024207	 -0.98132732	 300
71601.44701987	 70508.0566947	 -1.35	 310
72174.90936423	 69688.82477418	 -3.92	 1310.00330244
