Well name:	 Segment-1-2-3_d
71442.90214334	 70655.6277675	 100.0	 0.0
71436.44785446	 70658.51343122	 92.93	 10
71429.7171601	 70661.52267374	 86.17409792	 20
71422.72802301	 70664.65847873	 79.74613636	 30
71415.49836534	 70667.92458664	 73.65806696	 40
71408.04706008	 70671.32509783	 67.92094455	 50
71400.3939491	 70674.86450953	 62.544844	 60
71392.55986063	 70678.54774758	 57.53876617	 70
71384.56662252	 70682.38018731	 52.91053213	 80
71376.43706466	 70686.36765443	 48.66666656	 90
71368.19499828	 70690.51639005	 44.81227498	 100
71359.86514887	 70694.83295025	 41.35092886	 110
71351.47299377	 70699.32397797	 38.28459511	 120
71343.04438172	 70703.99568823	 35.61371096	 130
71334.60452527	 70708.85251839	 33.33774437	 140
71326.1740127	 70713.8916816	 31.45803909	 150
71317.74556666	 70718.95085963	 29.62336878	 160
71314.38361972	 70720.9688696	 28.89155366	 170
71305.95517369	 70726.02804763	 27.05688336	 180
71297.52672765	 70731.08722566	 25.22221305	 190
71289.09828162	 70736.14640368	 23.38754274	 200
71280.66983559	 70741.20558171	 21.55287243	 210
71272.24138955	 70746.26475974	 19.71820213	 220
71263.81294352	 70751.32393777	 17.88353182	 230
71255.38449749	 70756.3831158	 16.04886151	 240
71246.95605145	 70761.44229383	 14.21419121	 250
71238.52760542	 70766.50147186	 12.3795209	 260
71230.09915939	 70771.56064989	 10.54485059	 270
71221.60282855	 70776.50459108	 8.70914696	 280
71212.89378466	 70781.06775532	 6.88429448	 290
71203.98525497	 70785.24484009	 5.09822015	 300
71194.89158242	 70789.03234918	 3.37778573	 310
71185.6281524	 70792.42826783	 1.74787754	 320
71176.21121985	 70795.43181706	 0.23127826	 330
71166.65774507	 70798.04326245	 -1.15128193	 340
71156.98525249	 70800.26376697	 -2.38101644	 350
71147.21171219	 70802.09527979	 -3.44095551	 360
71137.35544067	 70803.54045334	 -4.31581837	 370
71127.43501698	 70804.60258253	 -4.99189191	 380
71117.46921091	 70805.28556046	 -5.45691936	 390
71107.47692031	 70805.5938467	 -5.7	 400
70107.49577173	 70799.45361158	 -6.85	 1400.00066125
